job_name,task_name,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type
pai-pod-001274,evaluator,Terminated,1101382.0,1101847.0,600.0,29.296875,25.0,T4
pai-pod-001275,tensorflow,Terminated,1101382.0,1109803.0,600.0,29.296875,10.0,MISC
pai-pod-001276,tensorflow,Terminated,1101405.0,1109091.0,600.0,29.296875,10.0,MISC
pai-pod-001277,tensorflow,Terminated,1101415.0,1106156.0,600.0,29.296875,10.0,MISC
pai-pod-001278,tensorflow,Terminated,1101436.0,1107341.0,600.0,29.296875,10.0,MISC
pai-pod-001279,tensorflow,Terminated,1101445.0,1107399.0,600.0,29.296875,10.0,MISC
pai-pod-001280,tensorflow,Terminated,1101456.0,1105244.0,600.0,29.296875,10.0,MISC
pai-pod-001281,tensorflow,Terminated,1101468.0,1104126.0,600.0,29.296875,10.0,MISC
pai-pod-001282,tensorflow,Terminated,1101523.0,1107574.0,600.0,29.296875,10.0,MISC
pai-pod-001283,tensorflow,Terminated,1101532.0,1107648.0,600.0,29.296875,10.0,MISC
pai-pod-001284,tensorflow,Terminated,1101533.0,1102355.0,600.0,29.296875,25.0,MISC
pai-pod-001285,tensorflow,Terminated,1101539.0,1106365.0,600.0,29.296875,10.0,MISC
pai-pod-001286,tensorflow,Terminated,1101549.0,1107158.0,600.0,29.296875,10.0,MISC
pai-pod-001287,tensorflow,Terminated,1101556.0,1101708.0,600.0,29.296875,100.0,MISC
